OID;Date;X_coord;Y_coord;Place
126;20-12-2016;38,77066;-90,234008;St Louis
127;21-12-2016;38,641372;-90,216568;St Louis
128;22-12-2016;38,791053;-90,338646;St Louis
129;23-12-2016;38,620936;-90,390965;St Louis
130;24-12-2016;39,600495;-90,12065;St Louis
131;25-12-2016;38,77066;-90,234008;St Louis
132;26-12-2016;38,641372;-90,216568;St Louis
133;27-12-2016;38,791053;-90,338646;St Louis
134;28-12-2016;38,620936;-90,390965;St Louis
135;29-12-2016;39,600495;-90,12065;St Louis
136;30-12-2016;38,77066;-90,234008;St Louis
137;31-12-2016;38,641372;-90,216568;St Louis
138;1-1-2017;38,791053;-90,338646;St Louis
139;2-1-2017;38,620936;-90,390965;St Louis
140;3-1-2017;39,600495;-90,12065;St Louis
141;4-1-2017;38,77066;-90,234008;St Louis
142;5-1-2017;38,641372;-90,216568;St Louis
143;6-1-2017;38,791053;-90,338646;St Louis
144;7-1-2017;38,620936;-90,390965;St Louis
145;8-1-2017;39,600495;-90,12065;St Louis
146;9-1-2017;38,77066;-90,234008;St Louis
147;10-1-2017;38,641372;-90,216568;St Louis
148;11-1-2017;38,791053;-90,338646;St Louis
149;12-1-2017;38,620936;-90,390965;St Louis
150;13-1-2017;39,600495;-90,12065;St Louis
151;14-1-2017;38,77066;-90,234008;St Louis
152;15-1-2017;38,77066;-90,234008;St Louis
